assigned_number,description,points,extra_points_available,extra_points_received
1,Förfölj en lärare utan att den märker (10 min) 5p,5,false,0
2,Tejpa upp en klasskompis på väggen i 15 minuter – den ska inte stå på något och bäras upp helt av tejpen. 10p,10,false,0
3,Suicide shot (kan upprepas 5 gånger) 10p,10,false,0
4,"Färga hela håret (onaturligfärg, och inte endast en slinga), och man måste ha det minst 24 timmar 30p",30,false,0
5,Häll diskmedel i en fontän och bada i skummet. 10p,10,false,0
6,Lyckas beställa en macka på subway utan att prata. 5p,5,false,0
7,Ät en hel rödlök på under 5 minuter (diameter 5cm) 10p,10,false,0
8,Snagga en person i klassen 20p (måste vara en ny person varje gång och kan max upprepas max 3 gånger per klass) (om tjej 100p),20,false,0
9,Baka själv en pizza på en pizzeria. 5p,5,false,0
10,Spring en halvmara på max 3 timmar 50p,50,false,0
11,Ta en bira med en lärare. (kan upprepas 5 gånger) 10p,10,false,0
12,Bestig Kebenakaise och plancera en flagga med klassnamnet 150p,150,false,0
13,Ragga till dig en drink 10p,10,false,0
14,Cykla till Stockholm från Västerås (Ingen el cykel får användas) 50p,50,false,0
15,"Promenera till Hallstahammar från Västerås (startpunkt centralen, mål matpiraten) 40p",40,false,0
16,Spring naken runt skolan under skoltid 150p,150,false,0
17,"Övernatta i en butik (Måste vara en riktig butik, till exempel inget eget “loppis”.) 70p",70,false,0
18,"Var i 3 länder samtidigt (gränsen mellan sverige, norge, och finland). 100p",100,false,0
19,Drick mjölk direkt från en ko. 20p,20,false,0
20,"Lyckas pruta i valfri butik som inte är ett ""torgstånd"" (måste lyckas och får inte känna personen) 20p",20,false,0
21,"Drick 5 öl/cider (minst 4,5%) på 3 minuter (33cl)(kan upprepas 5 gånger) 20p",20,false,0
22,Fråga 10 personer av motsatt kön kiss or slap 10p,10,false,0
23,Ta en cuba(snus) och ha kvar den under läppen i 10 minuter 10p,10,false,0
24,Ge någon en magic mike show (motsatt kön) matsalen under lunchen (mycket folk ska vara runt och den ska vara i minst 3 minuter) 70p,70,false,0
25,"Gå in i en matbutik/butik och handla en gurka, kondompaket och glidmedel i en bemannad kassa. 5p",5,false,0
26,"Gör ett album (5 låtar, bara original ljud inga ""free beats"") 20p",20,false,0
27,Ta en selfie med en känd person (minst 100.000 följare på insta/Tiktok) 20p,20,false,0
28,Kom ensam 5 minuter sent till en lektion med bara underkläder på (måste vara andra elever på lektionen) 70p,70,false,0
29,Gå med i en tävling för en sport du aldrig har kört 10p,10,false,0
30,"Hosta en fest för alla i trean (man måste gå ut i förväg med inbjudan, den kan inte vara samma dag) 150p",150,false,0
31,Gå en hel skoldag med ansiktsmålning som en katt. 5p,5,false,0
32,Sminka en kille med full face of makeup och han har det en hel utekväll (kan upprepas 5 gånger per klass) 10p,10,false,0
33,"Ta en bild med en som heter Kurt, måste ha bildbevis på leget. 20p",20,false,0
34,Sätt upp 10 styckena A4-papper med skolans logga på Grillska gymnasiet. 20p,20,false,0
35,Rid en käpphäst en hel skoldag. 5p,5,false,0
36,Beställ en pizza utan deg. (Man får endast poäng om man får pizzan) 5p,5,false,0
37,Prata endast genom en megafon en hel skoldag. 5p,5,false,0
38,Hissa upp en cykel i en flaggstång i skolan 20p (20 bonuspoäng om det är en lärares cykel),20,true,0
39,Sov på en främlings axel på bussen. 20p,20,false,0
40,Demonstrera 10 sex-ställningar på en minut i ettornas studielabb 50p,50,false,0
41,Åk pulka i Vedbobacken utan snö 5p,5,false,0
42,Parkera in en lärares bil på alla sidor så att de inte kommer ut. (Lärarens reaktioner ska filmas) 20p,20,false,0
43,Blanda groggar (minst ¼ alkohol) i matsalen som dricks upp i matsalen. (Minst 5 personer ska delta) 20p,20,false,0
44,Gå med simfötter en hel dag i skolan. 5p,5,false,0
45,"Gå in i ett klassrum och ta över lektionen i minst 5 minuter, får inte vara en treas och du måste fortsätta på det spåret läraren hade. 20p",20,false,0
46,Spendera en skoldag på ett annat gymnasium utan att bli utslängd och delta på lektioner. ( 5p per timme.),5,false,0
47,"Ställ er upp och applådera med hela klassen, kasta blommor och skjut konfetti/serpentiner efter en lektion med någon av lärarna (kan bara göras en gång per klass) 10p",10,false,0
48,Ät fika framför en kassör och kolla hen i ögonen tills fikat är uppätet. (t.ex. på Espresso House) 5p,5,false,0
49,"Gå runt på stan och predika om något kontroversiellt, dela ut minst 15 hemgjorda flyers till olika främlingar, minst 15 minuter. 10p",10,false,0
50,Klä ut sig till 5 olika Disneyprinsessor under en vecka. (Görs av en enda person) (5 bonuspoäng för matchande prins) 10p,10,true,0
51,Håll en sexualkunskapslektion för ettorna. (kan bara göras en gång per klass) (Minst 20 ettor och minst 20 minuters lektion) 20p,20,false,0
52,Blek ögonbrynen och ha kvar det i en vecka. 20p,20,false,0
53,Pissa över gränsen till ett grannland. 50p,50,false,0
54,"Lägg en diss-track mot Grillska i minst 2 minuter, måste publiceras på Instagram och tagga skolan (måste ligga uppe i minst en vecka). 20p",20,false,0
55,Håll en picknick framför första raden under en hel film på bio. (Minst 3 personer) 10p,10,false,0
56,Övernatta i en rondell (måste minst vara 4 deltagare per klass) 50p,50,false,0
57,Lägg en diss-track på valfri klass/klasser och uppträd med den på lärarmiddagen(kan bara göras en gång per klass) 30p,30,false,0
58,"Alla utom en ska skolka från en lektion (hela lektionen, måste vara en lektion som nästan alla har på schemat, räknas till exempel inte med biologi 2 eller produktionsutrustning) 20p",20,false,0
59,"Gå med en uppblåsbar sexdocka under armen, som om det är din partner, offentligt på stan mellan klockan 13-16 i minst 20 minuter. 20p",20,false,0
60,Få fem ettor av motsatta könet att signera dina underkläder. 20p,20,false,0
61,Sov minst 12 personer i ett rum under en hel skolvecka. (kan bara göras en gång per klass) 70p,70,false,0
62,Skicka en fyllehälsning i elever och personal (fyllehälsningen måste få godkännande av kommittén). 10p,10,false,0
63,Ta en tågresa i endast underkläder till en annan stad. 100p,100,false,0
64,Flyg helikopter eller luftballong över Västerås. 50p (50 bonuspoäng om man hoppar fallskärm.),50,true,0
65,"Håll ett tal i ljushallen på Rudbeck om varför Hitachi är bättre än Rudbeck som pågår i minst 5 minuter (Cajsa-godkänt argumenterande tal), krävs tillstånd från Rudbecks rektor. 50p",50,false,0
66,Åk med en gummibåt från Hallsta till Strömsholm. 20p,20,false,0
67,"Häll ett meningslöst tacktal på lärarmiddagen, som aldrig kommer till punkten, i minst 3 minuter. (Endast först till kvarn får poängen 20p)",20,false,0
68,Ta en öl med den lokala alkisen utan för coop stenby 10p,10,false,0
69,Var på McDonalds i 24h i sträck och live-streama upplevelsen. 50p,50,false,0
70,"Tatuera klassnamnet 230X, minst storlek 15 i Times New Roman. (Ej under foten eller i munnen) 100p",100,false,0
71,Skaffa Mike Tysons ansiktstatuering. 100p,100,false,0
72,"Gör en edit på en etta och skicka till elever och personal, bästa vinner (kan bara göras en gång per klass) 20p",20,false,0
73,Åk rullskridskor i skolan en hel dag 5p,5,false,0
74,Gör en musik video med hela klassen (kan bara göras en gång per klass) 20p (20 bonuspoäng för bästa musik video),20,true,0
75,Hitta rinkeby final boss och ta en bild 20p,20,false,0
76,"Kir challenge (10p per person som klarar, hela klassen får delta)",10,false,0
77,Håll intensiv ögonkontakt med en främling och sug av en glass (twister eller pigelin) 5p,5,false,0
78,Drick två långhylsor innan en lektion (Får börja dricka en kvart innan lektionen startar) (kan upprepas 5 gång) 10p,10,false,0
79,Skjutsa till och hem en lärare från skolan 10p (kan upprepas med olika lärare) (20p bonuspoäng om det är Johan Öster),10,true,0
80,Gör en parodi på gymnasietiden (lägg upp på youtube minst 15min lång) 20p,20,false,0
